ACTEURS,OBJETS,LIEUX,ACTIONS,provenance
,,Perche_commune,,mots_francais
,,Stephen_Decatur,,mots_francais
,,chytridiaceae,,mots_francais
,,Bengaluru,,mots_francais
,,Santiago_de_los_Caballeros,,mots_francais
,,Omaha,,mots_francais
,,Polygalaceae,,mots_francais
,,riz_pilaf,,mots_francais
,,Manuel_de_Falla,,mots_francais
,,système_de_fichiers,,mots_francais
,,Nicosie,,mots_francais
,,Jammu-et-Cachemire,,mots_francais
,,taxacée,,mots_francais
,,traité_de_paix,,mots_francais
,,periplaneta,,mots_francais
,,nyctereutes,,mots_francais
,,symétrie_miroir,,mots_francais
,,Côte_d’Ivoire,,mots_francais
,,Benjamin_Harrison,,mots_francais
,,radiobalise,,mots_francais
,,Architecture_victorienne,,mots_francais
,,saute-au-paf,,mots_francais
,,Tabernaemontana,,mots_francais
,,Toscane,,mots_francais
,,Université_de_Chicago,,mots_francais
,,Colon,,mots_francais
,,Swaziland,,mots_francais
,,nymphaea,,mots_francais
,,tabernaemontana,,mots_francais
,,Momos,,mots_francais
,,mariage_gay,,mots_francais
,,Mantispidae,,mots_francais
,,SIN,,mots_francais
,,odalisque,,mots_francais
,,Chant_de_Noël,,mots_francais
,,loupe,,mots_francais
,,association_professionnelle,,mots_francais
,,Welsh_rabbit,,mots_francais
,,Valdez,,mots_francais
,,dacninae,,mots_francais
,,Cérat_de_Galien,,mots_francais
,,Spitzberg,,mots_francais
,,Alpena,,mots_francais
,,William_James_Durant,,mots_francais
,,sayonara,,mots_francais
,,babiroussa,,mots_francais
,,John_Donne,,mots_francais
,,yuan,,mots_francais
,,Archipel_japonais,,mots_francais
,,callirhoe,,mots_francais
,,surfacing,,mots_francais
,,prétoire,,mots_francais
,,pacifique,,mots_francais
,,caryocinèse,,mots_francais
,,Congo_français,,mots_francais
,,hippocampus,,mots_francais
,,sept_mers,,mots_francais
,,malléus,,mots_francais
,,Américain,,mots_francais
,,passeriforme,,mots_francais
,,pinus_strobiformis,,mots_francais
,,fair_deal,,mots_francais
,,stokesia,,mots_francais
,,dissimilitude,,mots_francais
,,Bengale,,mots_francais
,,barre_oblique,,mots_francais
,,apodictique,,mots_francais
,,Loi_de_composition_interne,,mots_francais
,,Art_rock,,mots_francais
,,Costa_Rica,,mots_francais
,,amérique_du_nord,,mots_francais
,,Parthie,,mots_francais
,,Kathmandu,,mots_francais
,,deuxième_épître_à_Timothée,,mots_francais
,,theobroma,,mots_francais
,,somali,,mots_francais
,,dubitatif,,mots_francais
,,Voltigeur_de_droite,,mots_francais
,,Primula_auricula,,mots_francais
,,Castries,,mots_francais
,,Le_Roi_Lear,,mots_francais
,,tojo,,mots_francais
,,Myélome_multiple,,mots_francais
,,bécasseau_sanderling,,mots_francais
,,Carduelis,,mots_francais
,,George_Fox,,mots_francais
,,spectre_d',,mots_francais
,,geraniales,,mots_francais
,,Robert_Schumann,,mots_francais
,,origanum,,mots_francais
,,Brahmana,,mots_francais
,,Tripoli,,mots_francais
,,Grèce_moderne,,mots_francais
,,Lipoprotéine,,mots_francais
,,Jihad_islamique_égyptien,,mots_francais
,,béjaune,,mots_francais
,,phrynosoma_cornutum,,mots_francais
,,anacardium_occidentale,,mots_francais
,,hémisphère_austral,,mots_francais
,,dans_les_règles,,mots_francais
,,Chalcédoine,,mots_francais
,,Seeland,,mots_francais
,,Pégase,,mots_francais
,,Montpellier,,mots_francais
,,Hypocratisme_digital,,mots_francais
,,mésange_bicolore,,mots_francais
,,Japon,,mots_francais
,,conure_à_tête_jaune,,mots_francais
,,liatris_pycnostachya,,mots_francais
,,rhumatologiste,,mots_francais
,,Quito,,mots_francais
,,Agathis_australis,,mots_francais
,,Viverridae,,mots_francais
,,bodhisatta,,mots_francais
,,ancestral,,mots_francais
,,minter,,mots_francais
,,Bath,,mots_francais
,,Londres,,mots_francais
,,Sonora,,mots_francais
,,stevedore,,mots_francais
,,caryocar,,mots_francais
,,Eriocaulaceae,,mots_francais
,,Boone,,mots_francais
,,Nombre_ordinal,,mots_francais
,,Gamme_musicale,,mots_francais
,,Ienisseï,,mots_francais
,,limnodromus,,mots_francais
,,Cristóbal_Balenciaga_Eizaguirre,,mots_francais
,,Turin,,mots_francais
,,sud-africain,,mots_francais
,,hakea,,mots_francais
,,structure_de_données,,mots_francais
,,oenanthe,,mots_francais
,,border_terrier,,mots_francais
,,étude_du_travail,,mots_francais
,,Xyridacées,,mots_francais
,,Tillandsia_usneoides,,mots_francais
,,impoli,,mots_francais
,,bubulcus_ibis,,mots_francais
,,géométrie_projective,,mots_francais
,,Étrusques,,mots_francais
,,britten,,mots_francais
,,pythoninés,,mots_francais
,,Pompéi,,mots_francais
,,glis_glis,,mots_francais
,,brunâtre,,mots_francais
,,phénylcétonurie,,mots_francais
,,Vigne_vierge_de_Virginie,,mots_francais
,,Pernambouc,,mots_francais
,,Pollux,,mots_francais
,,Colombien,,mots_francais
,,langue_naturelle,,mots_francais
,,bêche-de-mer,,mots_francais
,,linaceae,,mots_francais
,,Programmation_informatique,,mots_francais
,,teucrium,,mots_francais
,,Oran,,mots_francais
,,Floride,,mots_francais
,,Ostariophysi,,mots_francais
,,Aplacophores,,mots_francais
,,Greta_Lovisa_Gustafsson,,mots_francais
,,anemone_quinquefolia,,mots_francais
,,psoque,,mots_francais
,,prérogative,,mots_francais
,,Cité_de_Westminster,,mots_francais
,,Tamale,,mots_francais
,,Otto_Heinrich_Warburg,,mots_francais
,,argument_à_logique_fallacieuse,,mots_francais
,,Nanotube_de_carbone,,mots_francais
,,Nicolas_de_Myre,,mots_francais
,,capibara,,mots_francais
,,Yokohama,,mots_francais
,,William_Kidd,,mots_francais
,,acquisitif,,mots_francais
,,Brunelle_commune,,mots_francais
,,polygonia,,mots_francais
,,Euphorbiaceae,,mots_francais
,,Maîtrise_ès_sciences,,mots_francais
,,Gorgerin,,mots_francais
,,avicennia_officinalis,,mots_francais
,,acide_carboxylique,,mots_francais
,,eira,,mots_francais
,,I_Love_You,,mots_francais
,,cacodémon,,mots_francais
,,bathyscaphes,,mots_francais
,,Williamstown,,mots_francais
,,Ian_Lancaster_Fleming,,mots_francais
,,George_Edward_Moore,,mots_francais
,,Louis_VII,,mots_francais
,,junco,,mots_francais
,,belette_à_longue_queue,,mots_francais
,,Géographie_du_Soudan,,mots_francais
,,anserinae,,mots_francais
,,Tresses,,mots_francais
,,Trou_Noir_de_Calcutta,,mots_francais
,,de_Flodden_Field,,mots_francais
,,conducteur_de_train,,mots_francais
,,aversif,,mots_francais
,,morus_nigra,,mots_francais
,,logiciel_de_traitement_de_texte,,mots_francais
,,République_d'Estonie,,mots_francais
,,Avicennia_marina,,mots_francais
,,Bulawayo,,mots_francais
,,procyonidés,,mots_francais
,,éclipse_lunaire,,mots_francais
,,Insulinde,,mots_francais
,,Mauna_Loa,,mots_francais
,,Najadaceae,,mots_francais
,,Vesce,,mots_francais
,,Monte_di_Catania,,mots_francais
,,Tchécoslovaque,,mots_francais
,,détracteuse,,mots_francais
,,Canton,,mots_francais
,,Gange,,mots_francais
,,Vaux,,mots_francais
,,Fridtjof_Nansen,,mots_francais
,,Année_tropique,,mots_francais
,,Polyporaceae,,mots_francais
,,rhipidure,,mots_francais
,,anthozoaire,,mots_francais
,,pronunciamento,,mots_francais
,,Salto_del_Ángel,,mots_francais
,,Nicolas_Poussin,,mots_francais
,,facteur_de_croissance,,mots_francais
,,parthenium,,mots_francais
,,Henry_Longfellow,,mots_francais
,,Croix_de_guerre,,mots_francais
,,loutre_commune,,mots_francais
,,Aberdeen,,mots_francais
,,tesselle,,mots_francais
,,gander,,mots_francais
,,Médine,,mots_francais
,,Beijing,,mots_francais
,,Mésopotamie,,mots_francais
,,Millepertuis_perforé,,mots_francais
,,Myristicaceae,,mots_francais
,,harrisia,,mots_francais
,,lumen,,mots_francais
,,verbascum,,mots_francais
,,électromagnétique,,mots_francais
,,Will_Rogers,,mots_francais
,,Union_soviétique,,mots_francais
,,Jane_Goodall,,mots_francais
,,poney,,mots_francais
,,Maroc,,mots_francais
,,Kahoolawe,,mots_francais
,,Luigi_Cherubini,,mots_francais
,,trogon,,mots_francais
,,Laotienne,,mots_francais
,,selaginellales,,mots_francais
,,Acetabulum,,mots_francais
,,appareil_photo_numérique,,mots_francais
,,IR,,mots_francais
,,nénuphar,,mots_francais
,,unité_de_mesure,,mots_francais
,,Parti_des_travailleurs_du_Kurdistan,,mots_francais
,,aloyau,,mots_francais
,,Epsom,,mots_francais
,,pseudolarix_amabilis,,mots_francais
,,Rana,,mots_francais
,,cupressus_abramsiana,,mots_francais
,,angleterre,,mots_francais
,,aconit,,mots_francais
,,Buse,,mots_francais
,,Renonculacées,,mots_francais
,,Blackburn_with_Darwen,,mots_francais
,,Cambarus,,mots_francais
,,bacteroides,,mots_francais
,,Région_méditerranéenne,,mots_francais
,,WV,,mots_francais
,,Relativité_restreinte,,mots_francais
,,zone_tempérée,,mots_francais
,,Kimberley,,mots_francais
,,Africaine,,mots_francais
,,Ségovie,,mots_francais
,,stochastique,,mots_francais
,,bedaine,,mots_francais
,,résonance_magnétique_nucléaire,,mots_francais
,,Barrister,,mots_francais
,,pied_de_planche,,mots_francais
,,caraque,,mots_francais
,,extrusif,,mots_francais
,,liège,,mots_francais
,,Mohammed_Hosni_Moubarak,,mots_francais
,,frontalier,,mots_francais
,,bromeliaceae,,mots_francais
,,Pavot_bleu_de_l'Himalaya,,mots_francais
,,Grenade,,mots_francais
,,République_gabonaise,,mots_francais
,,cardère_sauvage,,mots_francais
,,Johannes_Diderik_van_der_Waals,,mots_francais
,,antiseptique,,mots_francais
,,Henri_IV,,mots_francais
,,Combretaceae,,mots_francais
,,gelsemium_sempervirens,,mots_francais
,,nom_de_baptême,,mots_francais
,,vol_tactique,,mots_francais
,,Point_de_Mc_Burney,,mots_francais
,,panicauts,,mots_francais
,,Gênes,,mots_francais
,,glauque,,mots_francais
,,Glande_mammaire,,mots_francais
,,Guadalcanal,,mots_francais
,,Mahalia_Jackson,,mots_francais
,,Angélus,,mots_francais
,,Nouvelle_Guinée,,mots_francais
,,Prusse,,mots_francais
,,Ouzbékistan,,mots_francais
,,lentille_de_contact,,mots_francais
,,système_électoral,,mots_francais
,,Tonga,,mots_francais
,,Ithaque,,mots_francais
,,hypocycloïde,,mots_francais
,,rat_surmulot,,mots_francais
